Date AD,Date BS,Stations,Minimun Temprature,Maximum Temprature,Rainfall
2012/1/1,2068-09-17,Dadeldhura,6.9,4.5,7.3
2012/1/1,2068-09-17,Dipayal,18.2,4.5,
2012/1/1,2068-09-17,Dhangadi,15.6,13.4,10.4
2012/1/1,2068-09-17,Birendranagar,15.6,10.2,
2012/1/1,2068-09-17,Nepalgunj,16.3,13.6,
2012/1/1,2068-09-17,Jumla,9,3,9.5
2012/1/1,2068-09-17,Dang,16.5,11.4,
2012/1/1,2068-09-17,Pokhara,15,7.9,0.2
2012/1/1,2068-09-17,Bhairahawa,18,12,1.8
2012/1/1,2068-09-17,Simra,20.2,11.7,
2012/1/1,2068-09-17,Kathmandu,12.7,3.2,0
2012/1/1,2068-09-17,Okhaldhunga,12,4,0
2012/1/1,2068-09-17,Taplejung,12.7,4.2,0
2012/1/1,2068-09-17,Dhankuta,19,8.5,
2012/1/1,2068-09-17,Biratnagar,21.5,12,0.6
2012/1/1,2068-09-17,Jiri,14,-1.6,0.0*
2012/1/2,2068-09-18,Dadeldhura,13.5,3.2,4.3
2012/1/2,2068-09-18,Dipayal,20.7,9.6,0
2012/1/2,2068-09-18,Dhangadi,23,10.8,
2012/1/2,2068-09-18,Birendranagar,21.1,7,13.9
2012/1/2,2068-09-18,Nepalgunj,21.5,10,4.7
2012/1/2,2068-09-18,Jumla,10.6,-2.4,3.9
2012/1/2,2068-09-18,Dang,20,9,18.4
2012/1/2,2068-09-18,Pokhara,19.8,6.7,4.1
2012/1/2,2068-09-18,Bhairahawa,22.4,13.9,17.6
2012/1/2,2068-09-18,Simra,22.6,14.2,18.4
2012/1/2,2068-09-18,Kathmandu,14.9,7,10.2
2012/1/2,2068-09-18,Okhaldhunga,11.8,4,6.2
2012/1/2,2068-09-18,Taplejung,10,5.6,11.1
2012/1/2,2068-09-18,Dhankuta,14.2,9.1,8.8
2012/1/2,2068-09-18,Biratnagar,19.2,12.5,7.9
2012/1/2,2068-09-18,Jiri,12,4.3,12.2*
2012/1/3,2068-09-19,Dadeldhura,14,2.6,0
2012/1/3,2068-09-19,Dipayal,23.2,5.8,0
2012/1/3,2068-09-19,Dhangadi,15.5,9.4,0
2012/1/3,2068-09-19,Birendranagar,21.6,8,0
2012/1/3,2068-09-19,Nepalgunj,20.4,12.2,0.3
2012/1/3,2068-09-19,Jumla,12.4,-5.1,0
2012/1/3,2068-09-19,Pokhara,19,7.5,0
2012/1/3,2068-09-19,Bhairahawa,20.4,12.4,0
2012/1/3,2068-09-19,Simra,22.5,14,0
2012/1/3,2068-09-19,Kathmandu,13,6.8,0
2012/1/3,2068-09-19,Okhaldhunga,16.6,4.2,0
2012/1/3,2068-09-19,Taplejung,14,5.6,0
2012/1/3,2068-09-19,Dhankuta,17.6,7.6,0
2012/1/3,2068-09-19,Biratnagar,21.9,11.5,0
2012/1/3,2068-09-19,Jiri,12.5,-1.2,0.8*
2012/1/4,2068-09-20,Dadeldhura,14.8,3.2,0
2012/1/4,2068-09-20,Dipayal,23.8,8.8,0
2012/1/4,2068-09-20,Dhangadi,16.7,9.6,0
2012/1/4,2068-09-20,Birendranagar,21.7,6.5,0
2012/1/4,2068-09-20,Nepalgunj,18.8,10.8,0
2012/1/4,2068-09-20,Jumla,12.6,-5.5,0
2012/1/4,2068-09-20,Dang,,8,0
2012/1/4,2068-09-20,Pokhara,19.4,7,
2012/1/4,2068-09-20,Bhairahawa,19.4,11.7,0
2012/1/4,2068-09-20,Simra,20.4,10.6,0
2012/1/4,2068-09-20,Kathmandu,16.2,3.9,0
2012/1/4,2068-09-20,Okhaldhunga,16.2,3.6,0
2012/1/4,2068-09-20,Taplejung,13.4,4.4,0
2012/1/4,2068-09-20,Dhankuta,20,5.5,0
2012/1/4,2068-09-20,Biratnagar,21.2,11,0
2012/1/4,2068-09-20,Jiri,13.6,-1,0.0*
2012/1/5,2068-09-21,Dadeldhura,14.3,3.6,0
2012/1/5,2068-09-21,Dipayal,22.8,8.4,0
2012/1/5,2068-09-21,Dhangadi,16.9,10.7,0
2012/1/5,2068-09-21,Birendranagar,21.6,6,0
2012/1/5,2068-09-21,Nepalgunj,17.5,10.4,0
2012/1/5,2068-09-21,Jumla,12.4,-4.7,0
2012/1/5,2068-09-21,Pokhara,18.8,4.2,2
2012/1/5,2068-09-21,Bhairahawa,18.4,9.4,0
2012/1/5,2068-09-21,Simra,16.8,7.5,0
2012/1/5,2068-09-21,Kathmandu,16.2,3,0
2012/1/5,2068-09-21,Okhaldhunga,16.5,3.8,0
2012/1/5,2068-09-21,Taplejung,14.2,3.6,0
2012/1/5,2068-09-21,Dhankuta,20,7,0
2012/1/5,2068-09-21,Biratnagar,20.6,11,0
2012/1/5,2068-09-21,Jiri,13.5,-2.5,0.0*
2012/1/6,2068-09-22,Dadeldhura,14,2,0
2012/1/6,2068-09-22,Dipayal,22,7.3,0
2012/1/6,2068-09-22,Dhangadi,18.4,8.7,0
2012/1/6,2068-09-22,Birendranagar,,5,0
2012/1/6,2068-09-22,Nepalgunj,18.4,8.5,0
2012/1/6,2068-09-22,Jumla,12.8,-3.4,0
2012/1/6,2068-09-22,Pokhara,18.5,6.5,0
2012/1/6,2068-09-22,Bhairahawa,17.6,10.9,0
2012/1/6,2068-09-22,Simra,17.6,10.5,0
2012/1/6,2068-09-22,Kathmandu,17.2,5,0
2012/1/6,2068-09-22,Okhaldhunga,,3.6,0
2012/1/6,2068-09-22,Taplejung,14.1,5,0
2012/1/6,2068-09-22,Dhankuta,20.1,6.2,0
2012/1/6,2068-09-22,Biratnagar,22.3,12,0
